Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Marker
HAAAELCE_01442_gene,38.71434133,0.172059228,0.373943473,0.460120957,0.645429402,0.793611885,0
HAAAELCE_01443_gene,150.525214,-0.085976737,0.222940935,-0.385648052,0.699757341,0.834275876,0
HAAAELCE_01444_gene,48.05930109,-0.691270041,0.439616815,-1.57243767,0.115849084,0.263597256,0
HAAAELCE_01445_gene,8.388725675,0.520003366,0.694748751,0.748476863,0.454172575,0.647477432,0
HAAAELCE_01446_gene,292.2258504,0.491461996,0.237312757,2.070946384,0.038363807,0.118770731,0
HAAAELCE_01447_gene,4.515152148,0.597162063,0.93599159,0.637999389,0.523474078,0.70460989,0
HAAAELCE_01449_gene,1.949820009,-2.533620644,2.230203578,-1.136049045,0.255936039,NA,0
HAAAELCE_01450_gene,73.62913592,-0.168882268,0.288027685,-0.586340399,0.557646788,0.73134005,0
HAAAELCE_01451_gene,680.9528784,0.16148302,0.209689736,0.77010455,0.441237877,0.63593553,0
HAAAELCE_00143_gene,70.09051565,-0.33352736,0.313890998,-1.062557898,0.287982488,0.490182959,0
HAAAELCE_01452_gene,661.1622765,-0.127246964,0.177270927,-0.717810674,0.472874031,0.662335613,0
HAAAELCE_01453_gene,189.4904652,0.860194869,0.257653287,3.338575181,0.000842092,0.005613949,0
HAAAELCE_01457_gene,18.16766144,-2.790390583,0.928095617,-3.006576621,0.002642075,0.01439709,0
HAAAELCE_01458_gene,0.178971685,-1.225569503,4.080472857,-0.300349873,0.763910295,NA,0
HAAAELCE_01459_gene,247.589408,-0.161249704,0.231267857,-0.697242174,0.485651249,0.674074654,0
HAAAELCE_01460_gene,287.3962361,-0.670197504,0.222143045,-3.016963699,0.002553204,0.013967974,0
HAAAELCE_01461_gene,117.3948137,-0.697930252,0.316583751,-2.204567514,0.027484457,0.091670215,0
HAAAELCE_01462_gene,61.5391958,-0.867803957,0.324608643,-2.673385246,0.007508996,0.033481146,0
HAAAELCE_01463_gene,11.8442134,-0.534451469,0.672074632,-0.795226369,0.426481836,0.621723949,0
HAAAELCE_01464_gene,101.8073632,-1.474697105,0.356111343,-4.141112417,3.46E-05,0.000351756,0
HAAAELCE_00144_gene,141.6598734,-0.347305519,0.235446328,-1.475094225,0.140187213,0.30040117,0
HAAAELCE_01465_gene,128.8449776,0.291214407,0.277066751,1.051062263,0.293229994,0.495751782,0
HAAAELCE_01466_gene,152.5938212,0.464181585,0.248630172,1.866955975,0.061907736,0.168589395,0
HAAAELCE_01467_gene,71.83011895,-0.578354719,0.323979819,-1.785156623,0.074235916,0.192247897,0
HAAAELCE_01468_gene,416.4520295,-1.342731628,0.252575463,-5.316160222,1.06E-07,1.95E-06,0
HAAAELCE_01469_gene,246.782697,-1.540753368,0.277389217,-5.554481833,2.78E-08,5.65E-07,0
HAAAELCE_01470_gene,21.55362647,-0.834589045,0.449823161,-1.855371439,0.063543203,0.171520039,0
HAAAELCE_01471_gene,54.15155655,0.279327754,0.315139089,0.886363398,0.375421736,0.574688847,0
